TripID,ScooterID,StartTime,EndTime,StartLatitude,StartLongitude,EndLatitude,EndLongitude,TripDistance
329eca51-4336-4023-b92a-d1656473f286,2c8461af-e2d3-4a92-b481-abf0ff8edb38,9/30/18 9:59,9/30/18 10:00,38.25,-85.76,38.25,-85.76,0
4f931917-0745-4a8f-abd2-1852809901d0,177e51de-242a-409e-ba99-d1cc2d67f7a8,9/30/18 9:59,9/30/18 10:02,38.25,-85.76,38.25,-85.76,0.01
fa9daef4-19f3-498a-8b30-edf4e0334d75,0f18529e-008d-4cb1-be8a-957af58a0d2f,9/30/18 10:02,9/30/18 10:09,38.24,-85.72,38.24,-85.72,0.43
29a7f524-d1cc-4873-a540-6577e3cbf5f4,5c713164-f278-47e0-b3d2-7184add4e427,9/30/18 10:03,9/30/18 10:04,38.25,-85.76,38.25,-85.76,0
fdd3f192-5390-4ccf-82fe-63dca7734943,5c713164-f278-47e0-b3d2-7184add4e427,9/30/18 10:05,9/30/18 10:41,38.25,-85.76,38.24,-85.72,3.12
8fccb3c9-3d15-44c4-ba23-ed1f9682d11b,362438b2-f8a5-4d7a-9121-a4d114ede69f,9/30/18 10:06,9/30/18 10:41,38.25,-85.76,38.24,-85.72,3.13
0fbbb26e-0919-4496-ae86-322b25bc20de,f347f43e-95d3-4109-805b-70104371df9d,9/30/18 10:09,9/30/18 10:22,38.26,-85.75,38.26,-85.75,0.14
402b220b-cec6-41ab-83d9-5b90bbca495d,b0d0ea58-f0be-47bd-8434-f4231dde8902,9/30/18 10:13,9/30/18 10:18,38.24,-85.72,38.24,-85.72,0.39
b59a18eb-97e8-42e0-ad1a-f2ddce2784fb,176eb6fd-9d17-4713-88a7-17bcf4a53d3d,9/30/18 10:17,9/30/18 10:25,38.23,-85.70,38.23,-85.70,0.99
d2c6fec1-3f29-43ef-84f3-a6d418b3fab3,15c1a26b-10bd-4ab2-917a-8904390f0674,9/30/18 10:24,9/30/18 10:34,38.23,-85.71,38.24,-85.72,1.12
371472b6-51f1-425c-abcb-7182844981f1,55179511-3d9f-4def-b9e2-24af25712217,9/30/18 10:27,9/30/18 10:45,38.23,-85.71,38.25,-85.73,2.42
71d0fb1d-a62b-4c51-a83c-25db7d6c01be,39a540f0-d204-4952-8d8d-d107aef3f5ae,9/30/18 10:27,9/30/18 10:34,38.26,-85.75,38.25,-85.75,0.68
7f7af70d-e125-4ede-b58b-af80ec2a49c1,2c34061f-b921-45ed-9f90-cdf66776626e,9/30/18 10:28,9/30/18 11:03,38.25,-85.76,38.26,-85.76,3.04
b11c481b-2e0e-4418-b44a-c7ef2648fe2b,7a86b369-1b15-4ecd-a872-217a9fe3980a,9/30/18 10:30,9/30/18 11:04,38.25,-85.76,38.26,-85.76,2.61
3d9c5c8c-a608-4963-b79b-1f12444c2caa,b671e007-09d5-48ee-b348-301dabe3017a,9/30/18 10:34,9/30/18 10:42,38.23,-85.70,38.24,-85.71,0.68
8dfb7948-8835-4899-afc0-62ddd695d593,afc5777d-6bcc-4f3c-a837-87d41fb5f0e5,9/30/18 10:35,9/30/18 10:40,38.26,-85.75,38.25,-85.75,0.37
a6e9fcc6-07d7-47aa-bc3e-bc2a5acd02f0,1b8d06ec-b991-49e6-9757-4607eb570a4c,9/30/18 10:35,9/30/18 10:39,38.26,-85.75,38.25,-85.75,0.25
